"title","domain","difficulty","blurb","angles","seed_context","tags"
"Alexander the Great","People","Beginner","Macedonian king who created one of the largest empires in ancient history.","[""Why was his empire significant?"",""How did his conquests spread culture?""]","Born in 356 BCE, Alexander was tutored by Aristotle.\nHe conquered Persia and reached India before dying at 32.","macedonia, empire, conqueror"
"Oprah Winfrey","People","Beginner","American talk show host, actress, and philanthropist known for her media influence.","[""Why is Oprah influential?"",""How did she change television?""]","Born in 1954 in Mississippi, Winfrey rose from poverty.\nHer talk show became a cultural landmark and built her media empire.","television, media, usa"
"Vincent van Gogh","People","Beginner","Dutch painter known for expressive works like 'Starry Night.'","[""How did van Gogh influence art?"",""Why did he struggle personally?""]","Born in 1853 in the Netherlands, van Gogh painted vivid works.\nDespite struggles, he influenced modern art profoundly.","art, painting, dutch"
"Isaac Newton","People","Beginner","English scientist who formulated laws of motion and gravity.","[""Why are Newton's laws important?"",""How did he influence physics?""]","Born in 1642, Newton was a mathematician and scientist.\nHe authored 'Principia,' shaping physics for centuries.","gravity, physics, england"
"Malala Yousafzai","People","Beginner","Pakistani activist for girls' education and youngest Nobel Prize laureate.","[""Why is education central to her activism?"",""How did Malala survive adversity?""]","Born in 1997, Malala advocated for education.\nAfter surviving an attack, she became a global activist.","education, nobel, pakistan"
"Confucius","People","Beginner","Chinese philosopher whose teachings emphasized morality, family, and government.","[""Why are his teachings enduring?"",""How did Confucius shape East Asia?""]","Born around 551 BCE in China, Confucius taught ethics.\nHis philosophy shaped Chinese culture and governance.","philosophy, china, ethics"
"Thomas Edison","People","Beginner","Inventor of the phonograph, motion picture camera, and practical electric light bulb.","[""Why was Edison prolific?"",""How did his inventions shape modern life?""]","Born in 1847 in Ohio, Edison held over 1,000 patents.\nHe developed electric power systems and founded companies.","invention, electricity, usa"
"Joan of Arc","People","Beginner","French heroine who led armies during the Hundred Years' War before being executed.","[""Why was Joan inspirational?"",""How did she impact France?""]","Born in 1412, Joan claimed divine visions.\nShe led French troops to victory and was later canonized.","france, war, saint"
"Barack Obama","People","Beginner","44th U.S. President and the first African American to hold the office.","[""Why was his election historic?"",""What were his major policies?""]","Born in 1961 in Hawaii, Obama was a lawyer and senator.\nHe served as president from 2009 to 2017, winning the Nobel Peace Prize.","president, usa, politics"
"Charles Darwin","People","Beginner","Naturalist who proposed the theory of evolution by natural selection.","[""Why was evolution controversial?"",""How did Darwin collect evidence?""]","Born in 1809, Darwin sailed on the Beagle.\nHis 1859 book 'On the Origin of Species' reshaped biology.","evolution, biology, england"
"Maya Angelou","People","Beginner","American poet and writer known for works on identity, race, and resilience.","[""Why do her poems resonate?"",""How did Angelou impact culture?""]","Born in 1928, Angelou was a poet, singer, and activist.\nHer memoirs and poems reflect personal and collective struggles.","poet, writer, usa"
"Julius Caesar","People","Beginner","Roman general and statesman who transformed the Roman Republic.","[""Why was Caesar influential?"",""How did his rule end the Republic?""]","Born in 100 BCE, Caesar conquered Gaul.\nHe became dictator for life before being assassinated in 44 BCE.","rome, general, dictator"
"Amelia Earhart","People","Beginner","Aviation pioneer and first woman to fly solo across the Atlantic Ocean.","[""Why was Earhart a trailblazer?"",""How did she inspire women in aviation?""]","Born in 1897, Earhart set records in aviation.\nShe disappeared during a 1937 flight while attempting a world circumnavigation.","aviation, pilot, usa"
"Nikola Tesla","People","Intermediate","Inventor and engineer known for alternating current and innovations in electromagnetism.","[""How did Tesla's AC system transform power?"",""Why was he overlooked in his time?""]","Born in 1856 in Croatia, Tesla immigrated to the U.S.\nHe pioneered AC electricity and wireless experiments.","electricity, inventor, ac"
"Marie Antoinette","People","Intermediate","Queen of France during the Revolution, remembered for her downfall and symbolism of monarchy.","[""How did her image fuel revolution?"",""Why is she still controversial?""]","Born in 1755 in Austria, Marie Antoinette married Louis XVI.\nShe was executed by guillotine in 1793.","france, queen, revolution"
"Sigmund Freud","People","Intermediate","Neurologist who founded psychoanalysis, influencing psychology and culture.","[""Why were Freud's theories revolutionary?"",""How have his ideas aged?""]","Born in 1856 in Austria, Freud developed concepts like the unconscious.\nHis work shaped therapy and literature.","psychology, psychoanalysis, austria"
"Catherine the Great","People","Intermediate","Empress of Russia who expanded territory and modernized the empire.","[""What reforms did she pursue?"",""How did she wield power?""]","Born in 1729 in Prussia, Catherine became Empress of Russia.\nShe ruled from 1762–1796, advancing art and governance.","russia, empress, reform"
"Alan Turing","People","Intermediate","Mathematician and codebreaker, considered a father of computer science.","[""How did Turing aid WWII?"",""What was his legacy in computing?""]","Born in 1912 in London, Turing broke Enigma codes.\nHis work laid foundations for modern computing.","computers, cryptography, wwii"
"Harvey Milk","People","Intermediate","One of the first openly gay elected officials in the U.S., assassinated in 1978.","[""Why was his election groundbreaking?"",""How did he advance LGBTQ+ rights?""]","Born in 1930 in New York, Milk became a San Francisco supervisor.\nHe was assassinated in 1978 but inspired activism.","lgbtq, politics, usa"
"Elizabeth I","People","Intermediate","Queen of England who stabilized the kingdom and defeated the Spanish Armada.","[""Why is her reign called the Elizabethan Age?"",""How did she consolidate power?""]","Born in 1533, Elizabeth ruled England from 1558 to 1603.\nHer reign saw cultural flourishing and naval strength.","queen, england, renaissance"
"Che Guevara","People","Intermediate","Revolutionary figure in Cuba, known for Marxist ideology and guerrilla warfare.","[""Why is Che a symbol of revolution?"",""What role did he play in Cuba?""]","Born in 1928 in Argentina, Guevara fought with Fidel Castro.\nHe was executed in Bolivia in 1967.","cuba, revolution, marxism"
"Susan B. Anthony","People","Intermediate","American suffragist who campaigned for women's right to vote.","[""Why was Anthony important to suffrage?"",""How did activism change U.S. law?""]","Born in 1820, Anthony co-founded the National Woman Suffrage Association.\nShe tirelessly advocated for women’s voting rights.","suffrage, usa, rights"
"Imhotep","People","Intermediate","Ancient Egyptian polymath, architect of the Step Pyramid of Djoser.","[""Why was Imhotep revered?"",""How did he combine science and religion?""]","Lived around 27th century BCE, Imhotep designed pyramids.\nHe became deified for his wisdom and healing.","egypt, architecture, medicine"
"Sitting Bull","People","Intermediate","Lakota leader who resisted U.S. expansion and fought at the Battle of Little Bighorn.","[""Why was Sitting Bull influential?"",""What did his resistance symbolize?""]","Born in 1831, Sitting Bull was a Lakota holy man.\nHe played a key role in resisting U.S. military campaigns.","lakota, native american, resistance"
"Aristotle","People","Intermediate","Greek philosopher whose writings shaped Western thought in science and politics.","[""Why did Aristotle influence centuries?"",""How did he differ from Plato?""]","Born in 384 BCE in Macedonia, Aristotle taught Alexander the Great.\nHe wrote on ethics, science, and politics.","philosophy, greece, ethics"
"Ida B. Wells","People","Intermediate","Journalist and activist who documented lynching in the U.S. and campaigned for civil rights.","[""Why was her reporting dangerous?"",""How did Wells shape civil rights?""]","Born in 1862, Wells exposed lynching through investigative journalism.\nShe co-founded NAACP and fought for equality.","journalism, civil rights, usa"
"Alexander Hamilton","People","Intermediate","Founding Father of the U.S. and first Secretary of the Treasury.","[""Why was Hamilton’s economic vision critical?"",""How did he shape U.S. politics?""]","Born in 1755 in the Caribbean, Hamilton rose in U.S. politics.\nHe championed federal finance and founded the Treasury.","founder, usa, treasury"
"Mary Shelley","People","Intermediate","Author of 'Frankenstein,' often called the mother of science fiction.","[""Why did Frankenstein resonate?"",""How did Shelley influence literature?""]","Born in 1797 in London, Shelley published 'Frankenstein' in 1818.\nHer novel blends science, philosophy, and gothic style.","literature, gothic, england"
"Desmond Tutu","People","Intermediate","South African bishop and activist who opposed apartheid and promoted reconciliation.","[""Why was Tutu influential?"",""How did he support Mandela's vision?""]","Born in 1931, Tutu became Archbishop of Cape Town.\nHe won the Nobel Peace Prize for anti-apartheid work.","apartheid, bishop, peace"
"Plato","People","Intermediate","Greek philosopher, founder of the Academy, teacher of Aristotle.","[""What did Plato teach about ideals?"",""Why are his dialogues central?""]","Born in 427 BCE, Plato founded the Academy in Athens.\nHe wrote dialogues that shaped philosophy.","philosophy, greece, academy"
"Queen Victoria","People","Intermediate","British monarch whose long reign oversaw industrial and imperial expansion.","[""Why was her era transformative?"",""How did she shape monarchy?""]","Born in 1819, Victoria reigned until 1901.\nThe Victorian Era reflected industrial and colonial change.","queen, britain, empire"
"Mikhail Gorbachev","People","Intermediate","Last leader of the Soviet Union, known for glasnost and perestroika reforms.","[""Why did his reforms matter?"",""How did he end the Cold War?""]","Born in 1931, Gorbachev introduced reforms in the USSR.\nHe helped end the Cold War but saw the USSR collapse.","soviet, cold war, reforms"
"Leon Trotsky","People","Intermediate","Russian revolutionary and Marxist, key in the Bolshevik Revolution.","[""Why was Trotsky influential?"",""How did he clash with Stalin?""]","Born in 1879, Trotsky led revolutionary armies.\nHe was exiled and assassinated in 1940.","russia, revolution, marxism"
"Emmeline Pankhurst","People","Intermediate","British suffragette leader who fought for women's voting rights.","[""How did she mobilize women?"",""What tactics did she use?""]","Born in 1858, Pankhurst founded the Women’s Social and Political Union.\nHer activism advanced suffrage in Britain.","suffrage, britain, women"
"Malcolm X","People","Intermediate","Civil rights leader who advocated Black empowerment and self-defense.","[""Why did Malcolm X’s views differ from King’s?"",""How did he influence activism?""]","Born in 1925, Malcolm X was a Nation of Islam minister.\nHe later embraced broader activism before his assassination in 1965.","civil rights, usa, black power"
"Hammurabi","People","Intermediate","Babylonian king known for the Code of Hammurabi, one of the earliest legal codes.","[""Why is the code significant?"",""How did it shape justice?""]","Ruled from 1792–1750 BCE in Babylon.\nHis code established laws and punishments in Mesopotamia.","babylon, law, code"
"Franz Ferdinand","People","Intermediate","Archduke of Austria-Hungary whose assassination sparked World War I.","[""Why did his death trigger war?"",""How did alliances escalate conflict?""]","Born in 1863, Ferdinand was heir to the throne.\nHis assassination in 1914 led to global war.","austria, wwi, assassination"
"Nelson Rockefeller","People","Intermediate","American politician and businessman, U.S. Vice President under Gerald Ford.","[""Why was Rockefeller influential?"",""How did he shape policy?""]","Born in 1908, Rockefeller was from a wealthy family.\nHe served as Governor of New York and later Vice President.","politics, usa, economy"
"Rumi","People","Intermediate","Persian poet and Sufi mystic, famous for spiritual poetry and influence on Islamic thought.","[""Why is Rumi still read?"",""How did he shape mysticism?""]","Born in 1207, Rumi lived in Persia.\nHis poetry explores love, spirituality, and divine union.","poetry, sufism, persia"
"Jean-Jacques Rousseau","People","Intermediate","Philosopher whose writings influenced democracy and the French Revolution.","[""Why did Rousseau inspire revolution?"",""How did he shape modern politics?""]","Born in 1712 in Geneva, Rousseau wrote on social contract.\nHis ideas influenced revolution and education.","philosophy, france, democracy"
"Suleiman the Magnificent","People","Intermediate","Ottoman Sultan who expanded the empire and reformed governance.","[""Why was his reign considered golden?"",""How did he shape law and culture?""]","Born in 1494, Suleiman ruled from 1520–1566.\nHe expanded Ottoman power and supported the arts.","ottoman, sultan, empire"
"Haruki Murakami","People","Intermediate","Japanese novelist blending surrealism and modern themes, author of 'Norwegian Wood.'","[""Why is Murakami globally popular?"",""What themes recur in his works?""]","Born in 1949 in Kyoto, Murakami wrote bestselling novels.\nHis work fuses surrealism with everyday life.","novels, japan, surrealism"
"Ho Chi Minh","People","Intermediate","Vietnamese revolutionary leader who fought French and U.S. forces.","[""Why was he central to Vietnam?"",""How did he inspire independence?""]","Born in 1890, Ho Chi Minh led independence movements.\nHe was president of North Vietnam until 1969.","vietnam, revolution, communism"
"Hypatia","People","Advanced","Philosopher and mathematician of Alexandria, emblematic of the conflict between science and religion.","[""Why was Hypatia targeted?"",""What does her death signify about late antiquity?""]","Born around 350 CE in Alexandria, Hypatia taught mathematics and astronomy.\nShe was murdered by a Christian mob in 415 CE.","philosophy, mathematics, alexandria"
"Antonio Gramsci","People","Advanced","Italian Marxist thinker whose Prison Notebooks analyzed culture and power.","[""Why are Gramsci’s ideas about hegemony influential?"",""How do his theories resonate today?""]","Born in 1891 in Sardinia, Gramsci co-founded the Italian Communist Party.\nHe was imprisoned by Mussolini and wrote on cultural hegemony.","marxism, philosophy, italy"
"Max Weber","People","Advanced","German sociologist who examined authority, bureaucracy, and the Protestant ethic.","[""Why was Weber’s analysis of capitalism unique?"",""How do his authority types explain politics?""]","Born in 1864, Weber was a founding figure of sociology.\nHis works explored rationalization and modern institutions.","sociology, germany, capitalism"
"Hannah Arendt","People","Advanced","Political theorist who wrote on totalitarianism, evil, and the human condition.","[""Why is her concept of the 'banality of evil' debated?"",""How did Arendt reshape political thought?""]","Born in 1906 in Germany, Arendt fled Nazism.\nShe authored 'The Origins of Totalitarianism' and reported on Eichmann’s trial.","politics, philosophy, germany"
"Michel Foucault","People","Advanced","French philosopher who studied power, knowledge, and social institutions.","[""How did Foucault redefine power?"",""Why are his genealogies important?""]","Born in 1926, Foucault analyzed prisons, sexuality, and medicine.\nHe influenced history, sociology, and critical theory.","philosophy, france, power"
"Simone de Beauvoir","People","Advanced","French philosopher whose book 'The Second Sex' shaped feminist thought.","[""Why was her work groundbreaking?"",""How did she challenge gender norms?""]","Born in 1908, de Beauvoir was an existentialist writer.\nShe analyzed women’s oppression and promoted equality.","feminism, philosophy, france"
"W.E.B. Du Bois","People","Advanced","American sociologist and activist who pioneered studies of race and double consciousness.","[""How did Du Bois blend activism and scholarship?"",""Why is his double consciousness concept vital?""]","Born in 1868, Du Bois co-founded NAACP.\nHis work examined race, history, and equality.","sociology, civil rights, usa"
"Chinua Achebe","People","Advanced","Nigerian novelist whose works interrogated colonialism and cultural identity.","[""Why did Achebe challenge Western narratives?"",""How did he reshape African literature?""]","Born in 1930, Achebe authored 'Things Fall Apart.'\nHe examined tradition, colonial impact, and identity.","literature, africa, colonialism"
"Niccolò Machiavelli","People","Advanced","Renaissance thinker whose 'The Prince' analyzed political power and realism.","[""Why is Machiavelli linked to pragmatism?"",""How did his context shape his ideas?""]","Born in 1469 in Florence, Machiavelli wrote political theory.\nHis reputation is tied to realism and statecraft.","politics, renaissance, italy"
"Ada Lovelace","People","Advanced","Mathematician often credited as the first computer programmer.","[""How did Lovelace foresee digital computing?"",""Why was her vision ahead of her time?""]","Born in 1815, Lovelace collaborated with Charles Babbage.\nShe wrote algorithmic notes on the Analytical Engine.","mathematics, computing, england"
"Frantz Fanon","People","Advanced","Philosopher and psychiatrist who analyzed colonialism, violence, and identity.","[""Why did Fanon advocate revolutionary violence?"",""How did he shape postcolonial theory?""]","Born in 1925 in Martinique, Fanon fought in WWII.\nHe authored 'The Wretched of the Earth' on decolonization.","colonialism, philosophy, identity"
"Karl Marx","People","Advanced","Philosopher and economist who developed Marxism, critiquing capitalism and class struggle.","[""Why has Marxism endured?"",""How did Marx connect theory and revolution?""]","Born in 1818 in Germany, Marx wrote 'Capital' and the 'Communist Manifesto.'\nHis theories shaped global politics and economics.","marxism, philosophy, germany"
"Virginia Woolf","People","Advanced","Modernist author and feminist thinker, known for stream-of-consciousness style.","[""Why was Woolf’s style innovative?"",""How did she critique gender roles?""]","Born in 1882 in London, Woolf wrote 'Mrs Dalloway' and essays.\nShe advanced modernist literature and feminist thought.","literature, feminism, england"
"Noam Chomsky","People","Advanced","Linguist and activist who revolutionized syntax theory and critiques of U.S. policy.","[""Why was Chomsky's linguistic work radical?"",""How did he influence politics?""]","Born in 1928, Chomsky transformed linguistics with generative grammar.\nHe also wrote widely on politics and media.","linguistics, politics, usa"
"Socrates","People","Advanced","Ancient Greek philosopher whose method emphasized questioning and dialogue.","[""Why is Socratic method central to philosophy?"",""How does his trial illuminate democracy?""]","Born around 470 BCE in Athens, Socrates taught via questioning.\nHe was executed for impiety, shaping Western philosophy.","philosophy, greece, ethics"
"Rachel Carson","People","Advanced","Biologist whose book 'Silent Spring' launched modern environmentalism.","[""Why was her warning transformative?"",""How did she challenge industries?""]","Born in 1907 in Pennsylvania, Carson exposed pesticide dangers.\nHer work influenced environmental policy.","environment, science, usa"
"James Baldwin","People","Advanced","American writer whose essays probed race, sexuality, and identity.","[""Why does Baldwin’s work resonate today?"",""How did he merge art and activism?""]","Born in 1924, Baldwin wrote novels and essays.\nHis works examined American racism and human identity.","literature, civil rights, usa"
"Sappho","People","Advanced","Ancient Greek poetess whose lyric poetry celebrated love and emotion.","[""Why is Sappho significant in literature?"",""How did her fragments survive?""]","Lived around 600 BCE on Lesbos.\nHer surviving poetry influenced later lyric traditions.","poetry, greece, lyric"
"Albert Camus","People","Advanced","Philosopher and author associated with absurdism and existentialism.","[""Why did Camus reject nihilism?"",""How did his context shape his thought?""]","Born in 1913 in Algeria, Camus wrote 'The Stranger' and essays.\nHe won the Nobel Prize in 1957.","existentialism, philosophy, france"
"Toni Morrison","People","Advanced","American novelist whose works explored race, history, and identity in the U.S.","[""Why is Morrison’s prose powerful?"",""How did she expand literary canon?""]","Born in 1931 in Ohio, Morrison authored 'Beloved.'\nShe was awarded the Nobel Prize in Literature.","literature, race, usa"
"Herodotus","People","Advanced","Ancient Greek historian called the 'Father of History.'","[""Why is his history both narrative and inquiry?"",""How did Herodotus set precedent?""]","Born in 484 BCE in Halicarnassus, Herodotus wrote 'Histories.'\nHe combined storytelling with inquiry.","history, greece, historian"
"Gloria Steinem","People","Advanced","Feminist leader and journalist who advanced the women’s movement in the U.S.","[""Why was media central to her activism?"",""How did Steinem shape feminism?""]","Born in 1934, Steinem co-founded Ms. Magazine.\nShe campaigned for equality and reproductive rights.","feminism, usa, activism"
"Immanuel Kant","People","Advanced","German philosopher known for critiques of reason, morality, and aesthetics.","[""Why was Kant’s philosophy transformative?"",""How does his work shape ethics?""]","Born in 1724 in Königsberg, Kant wrote 'Critique of Pure Reason.'\nHis ideas remain central to philosophy.","philosophy, ethics, germany"
"Albert Schweitzer","People","Advanced","Theologian, musician, and physician known for 'Reverence for Life' ethic.","[""Why did Schweitzer link medicine and philosophy?"",""How did his ethic influence global thought?""]","Born in 1875 in Alsace, Schweitzer worked in Africa.\nHe received the Nobel Peace Prize in 1952.","ethics, medicine, peace"
"Mencius","People","Advanced","Confucian philosopher who emphasized human nature’s goodness.","[""Why did Mencius interpret Confucius differently?"",""How did he shape Chinese thought?""]","Born in 372 BCE, Mencius expanded Confucian doctrine.\nHis dialogues influenced East Asian philosophy.","philosophy, confucianism, china"
"John Stuart Mill","People","Advanced","English philosopher advocating liberty, utilitarianism, and women’s rights.","[""Why is Mill’s defense of liberty vital?"",""How did he reform utilitarianism?""]","Born in 1806 in London, Mill advanced liberal philosophy.\nHe promoted rights, freedom, and ethics.","liberalism, philosophy, england"
"Kwame Nkrumah","People","Advanced","First President of Ghana, a leader in Pan-Africanism and decolonization.","[""Why was Nkrumah’s vision ambitious?"",""How did he influence Africa?""]","Born in 1909, Nkrumah led Ghana to independence.\nHe championed Pan-African unity and modernization.","ghana, pan-africanism, independence"
"Jean-Paul Sartre","People","Advanced","French existentialist philosopher and writer, advocate of freedom and responsibility.","[""Why is Sartre linked to existentialism?"",""How did his politics connect to philosophy?""]","Born in 1905 in Paris, Sartre wrote novels and plays.\nHe declined the Nobel Prize in 1964.","existentialism, philosophy, france"
"Mary Wollstonecraft","People","Advanced","Author of 'A Vindication of the Rights of Woman,' an early feminist work.","[""Why was her feminism radical?"",""How did she influence later thinkers?""]","Born in 1759 in London, Wollstonecraft advocated education for women.\nHer work prefigured modern feminism.","feminism, rights, england"
"Paris","Places","Beginner","Capital of France, known for its culture, fashion, and landmarks like the Eiffel Tower.","[""Why is Paris a global tourist destination?"",""How has it shaped art and culture?""]","Located on the Seine River, Paris is France’s largest city.\nIt is home to museums, cuisine, and historic architecture.","france, city, europe"
"Mount Everest","Places","Beginner","World’s tallest mountain, located in the Himalayas on the Nepal–China border.","[""Why do climbers attempt Everest?"",""How does it impact local culture?""]","Everest rises to 8,849 meters above sea level.\nIt is sacred to Sherpa culture and attracts mountaineers worldwide.","mountain, nepal, himalayas"
"New York City","Places","Beginner","Largest city in the U.S., famous for Times Square, Broadway, and Wall Street.","[""Why is NYC called the 'city that never sleeps'?"",""How does immigration shape the city?""]","Founded in 1624, New York grew as a trade hub.\nIt is a global center for finance, culture, and media.","usa, city, finance"
"The Great Wall of China","Places","Beginner","Ancient series of walls built to protect China from invasions.","[""Why was the wall built?"",""How did it shape China’s history?""]","Built over centuries, the Great Wall stretches thousands of miles.\nIt is a UNESCO World Heritage Site.","china, wall, heritage"
"London","Places","Beginner","Capital of the United Kingdom, blending history with modern finance.","[""Why is London historically significant?"",""What landmarks define the city?""]","Located on the River Thames, London grew as a Roman settlement.\nIt houses Parliament, the Tower of London, and more.","england, city, uk"
"Amazon Rainforest","Places","Beginner","World’s largest rainforest, spanning South America, vital for biodiversity.","[""Why is it called 'Earth’s lungs'?"",""How does deforestation affect it?""]","The Amazon covers nine countries, mainly Brazil.\nIt influences global climate and holds immense biodiversity.","rainforest, brazil, environment"
"Tokyo","Places","Beginner","Capital of Japan, blending tradition with cutting-edge technology.","[""Why is Tokyo both ancient and modern?"",""How did it recover after WWII?""]","Tokyo, formerly Edo, became capital in 1868.\nIt is the world’s most populous metropolitan area.","japan, city, asia"
"Grand Canyon","Places","Beginner","Massive canyon carved by the Colorado River in Arizona, U.S.","[""Why does the Grand Canyon attract millions?"",""How does geology tell its story?""]","Formed over millions of years, the Grand Canyon is 277 miles long.\nIt is a UNESCO World Heritage Site.","canyon, usa, nature"
"Rome","Places","Beginner","Capital of Italy, known for ancient ruins like the Colosseum.","[""Why is Rome called the Eternal City?"",""How did Rome influence the West?""]","Rome was the heart of the Roman Empire.\nIt remains a cultural and religious center.","italy, city, ancient"
"Sahara Desert","Places","Beginner","World’s largest hot desert, spanning North Africa.","[""Why is the Sahara so vast?"",""How do people live there?""]","Covering 9 million square kilometers, the Sahara spans 11 countries.\nIts shifting dunes and oases support unique life.","desert, africa, climate"
"Sydney Opera House","Places","Beginner","Famous performing arts center in Australia, recognized for its unique design.","[""Why is it architecturally iconic?"",""How does it represent Australia?""]","Opened in 1973, the Opera House sits in Sydney Harbour.\nIts sails design symbolizes creativity and modernism.","australia, architecture, culture"
"Cairo","Places","Beginner","Capital of Egypt, near the pyramids and the Nile River.","[""Why is Cairo central to Egyptian identity?"",""How does it mix old and new?""]","Founded in 969 CE, Cairo grew along the Nile.\nIt remains Africa’s largest city by population.","egypt, city, africa"
"Niagara Falls","Places","Beginner","Massive waterfalls on the U.S.–Canada border, popular for tourism and hydroelectric power.","[""Why are the falls a natural wonder?"",""How do they benefit humans?""]","Niagara Falls formed from glacial activity.\nThey supply power and attract millions of visitors.","waterfalls, canada, usa"
"Moscow","Places","Beginner","Capital of Russia, noted for the Kremlin, Red Square, and cultural heritage.","[""Why is Moscow politically central?"",""What symbols define the city?""]","Founded in 1147, Moscow is Russia’s largest city.\nIt has been a center of power for centuries.","russia, city, kremlin"
"Petra","Places","Beginner","Ancient city in Jordan carved into rock, known as the 'Rose City.'","[""Why is Petra a wonder of the world?"",""How did trade routes shape it?""]","Petra thrived as a Nabatean city around 300 BCE.\nIts rock-cut structures attract millions.","jordan, archaeology, heritage"
